Symbol,Name,InstrumentToken,ISIN
GOLDBDINAV,BANDHANAMC - GOLDBDINAV,7829761,
GOLDBEES,NIPPON INDIA ETF GOLD BEES,3693569,INF204KB17I5
GOLDBEINAV,GOLDBEES NAV,2106113,
GOLDBETA,UTI MUTUAL FUND - UTI GOLD EXCHANGE TRADED FUND,3720961,INF789F1AUX7
GOLDBND,BANDHAN GOLD ETF,194643201,INF194KB1KJ7
GOLDCASE,ZERODHA GOLD ETF,5862657,INF0R8F01042
GOLDETF,MIRAE ASSET GOLD ETF,3657217,INF769K01JP9
GOLDIAM,GOLDIAM INTERNATIONAL,3064577,INE025B01025
GOLDIETF,ICICI PRUDENTIAL GOLD ETF,5037825,INF109KC1NT3
GOLDSHINAV,GOLDSHARE NAV,2106881,
GOLDTECH,AION-TECH SOLUTIONS,2527745,INE805A01014
GOODLUCK,GOODLUCK INDIA,1568001,INE127I01024
GOODYEAR,GOODYEAR INDIA,308481,INE533A01012
GOPAL,GOPAL SNACKS,5904897,INE0L9R01028
GOYALALUM,GOYAL ALUMINIUMS,3017473,INE705X01026
GPIL,GODAWARI POW & ISP,3432705,INE177H01039
GPPL,GUJARAT PIPAVAV PORT,5051137,INE517F01014
GPTHEALTH,GPT HEALTHCARE,5848577,INE486R01017
GPTINFRA,GPT INFRAPROJECTS,4527361,INE390G01014
GRADIENTE,GRADIENTE INFOTAINMENT L,195404545,INE361K01017
GRANDOAK,GRAND OAK CANYONS DIST L,195249921,INE926B01016
GRANULES,GRANULES INDIA,3039233,INE101D01020
GRAPHITE,GRAPHITE INDIA,151553,INE371A01025
GRASIM,GRASIM INDUSTRIES,315393,INE047A01021
GRAUWEIL,GRAUER & WEIL IND,1331201,INE266D01021
GRAVISSHO,GRAVISS HOSPITALITY,195251201,INE214F01026
GRAVITA,GRAVITA INDIA,5256705,INE024L01027
GRCAPMINAV,GROWWAMC - GRCAPMINAV,7829249,
GREAVESCOT,GREAVES COTTON,316161,INE224A01026
GREENLAM,GREENLAM INDUSTRIES,1753089,INE544R01021
GREENPANEL,GREENPANEL INDUSTRIES,3535361,INE08ZM01014
GREENPLY,GREENPLY INDUSTRIES,1020673,INE461C01038
GREENPOWER,ORIENT GREEN POWER CO,5148161,INE999K01014
GRINDWELL,GRINDWELL NORTON,3471361,INE536A01023
GRINFRA,G R INFRAPROJECTS,1293825,INE201P01022
GRMOVER,GRM OVERSEAS,2782977,INE192H01020
GRN200INAV,GROWWAMC - GRN200INAV,7656193,
GRO250INAV,GROWWAMC - GRO250INAV,7825921,
GROBTEA,THE GROB TEA COMPANY,4549121,INE646C01018
GROLIQINAV,GROWWAMC - GROLIQINAV,6520065,
GRONIFINAV,GROWWAMC - GRONIFINAV,7815937,
GROWEVINAV,GROWWAMC - GROWEVINAV,6349057,
GROWLOINAV,GROWWAMC - GROWLOINAV,7813121,
GROWMOINAV,GROWWAMC - GROWMOINAV,7808001,
GROWSLINAV,GROWWAMC - GROWSLINAV,7809281,
GROWW,BILLIONBRAINS GARAGE VN L,194510337,INE0HOQ01053
GROWWCAPM,GROWW NIFTY CAPITAL MARKETS ETF,194573057,INF666M01MM4
GROWWCHEM,GROWW NIFTY CHEMICALS ETF,194732289,INF666M01NP5
GROWWDEFNC,GROWW NIFTY INDIA DEFENCE ETF,6594049,INF666M01IO8
GROWWEINAV,GROWWAMC - GROWWEINAV,7833857,
GROWWEV,GROWW NIFTY EV & NEW AGE AUTOMOTIVE ETF,6348289,INF666M01IH2
GROWWGINAV,GROWWAMC - GROWWGINAV,6624001,
GROWWGOLD,GROWW GOLD ETF,6623233,INF666M01OE7
GROWWHOSPI,GROWWAMC - GROWWHOSPI,194783745,INF666M01OD9
GROWWLIQID,GROWW NIFTY 1D RATE LIQUID ETF,6514433,INF666M01IP5
GROWWLOVOL,GROWW NIFTY 500 LOW VOLATILITY 50 ETF,194124801,INF666M01LB9
GROWWMC150,GROWW NIFTY MIDCAP 150 ETF,194488065,INF666M01MV5
GROWWMETAL,GROWW NIFTY METAL ETF,194672129,INF666M01NI0
GROWWMOM50,GROWW NIFTY 500 MOMENTUM 50 ETF,193558017,INF666M01KJ4
GROWWN200,GROWW NIFTY 200 ETF,7647233,INF666M01JV1
GROWWNET,GROWW NIFTY INDIA INTERNET ETF,194000385,INF666M01LI4
GROWWNIFTY,GROWW NIFTY 50 ETF,194226433,INF666M01LL8
GROWWNINAV,GROWWAMC - GROWWNINAV,7814913,
GROWWNXT50,GROWW NIFTY NEXT 50 ETF,194421249,INF666M01LZ8
GROWWPINAV,GROWWAMC - GROWWPINAV,7816961,
GROWWPOWER,GROWW BSE POWER ETF,194090241,INF666M01LM6
GROWWPSE,GROWWAMC - GROWWPSE,194809857,INF666M01NQ3
GROWWPSUBK,GROWWAMC - GROWWPSUBK,194947585,INF666M01OG2
GROWWRAIL,GROWW NIFTY INDIA RAILWAYS PSU ETF,7558913,INF666M01JJ6
GROWWRINAV,GROWWAMC - GROWWRINAV,7819777,
GROWWRLTY,GROWW NIFTY REALTY ETF,194413569,INF666M01MN2
GROWWSC250,GROWW NIFTY SMALLCAP 250 ETF,194437633,INF666M01MO0
GROWWSLVR,GROWW SILVER ETF,193747713,INF666M01OF4
GRPLTD,GRP,1675009,INE137I01015
GRRAILINAV,GROWWAMC - GRRAILINAV,7559681,
GRSE,GARDEN REACH SHIP&ENG,1401601,INE382Z01011
GRW150INAV,GROWWAMC - GRW150INAV,7826945,
GRWCHEINAV,GROWWAMC - GRWCHEINAV,7833345,
GRWMTLINAV,GROWWAMC - GRWMTLINAV,7831297,
GRWN50INAV,GROWWAMC - GRWN50INAV,7818241,
GRWPSUINAV,GROWWAMC - GRWPSUINAV,7836673,
GRWRHITECH,GARWARE HI-TECH FILMS,2043393,INE291A01017
GRWWDFINAV,GROWWAMC - GRWWDFINAV,6599937,
GSEC10ABSL,ADITYA BIRLA SUN LIFE CRISIL 10 YEAR GILT ETF,6360833,INF209KC1142
GSEC10IETF,ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF,3364609,INF109KC18O0
GSEC10INAV,BIRLASLAMC - GSEC10INAV,6361601,
GSEC10YEAR,MIRAE ASSET NIFTY 8-13 YR G-SEC ETF,3824129,INF769K01KF8
GSEC5IETF,ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF,2135553,INF109KC14A8
GSFC,GUJ STATE FERT & CHEM,319233,INE026A01025
GSLSU,GLOBAL SURFACES,3737345,INE0JSX01015
GSPCROP,GSP CROP SCIENCE,195133185,INE713R01022
GTL,GTL,297473,INE043A01012
GTLINFRA,GTL INFRA.LTD,3518721,INE221H01019
GTPL,GTPL HATHWAY,5425921,INE869I01013
GUFICBIO,GUFIC BIOSCIENCES,2971137,INE742B01025
GUJALKALI,GUJARAT ALKALIES & CHEM,324353,INE186A01019
GUJAPOLLO,GUJ. APOLLO IND.,3757313,INE826C01016
GUJGASLTD,GUJARAT GAS,2713345,INE844O01030
GUJRAFFIA,GUJARAT RAFFIA INDUST,1164289,INE610B01024
GUJTHEM,GUJARAT THEMIS BIOSYN,7611137,INE942C01045
GULFOILLUB,GULF OIL LUB. IND.,1124097,INE635Q01029
GULPOLY,GULSHAN POLYOLS,1609217,INE255D01024
GVPIL,GE POWER INDIA,2012673,INE878A01011
GVPTECH,GVP INFOTECH,2781441,INE382T01030
GVT&D,GE VERNOVA T&D INDIA,4296449,INE200A01026
HAL,HINDUSTAN AERONAUTICS,589569,INE066F01020
HALDER,HALDER VENTURE,194743041,INE115S01010
HALDYNGL,HALDYN GLASS,195252481,INE506D01020
HALEOSLABS,HALEOS LABS,5517057,INE320X01016
HAPPSTMNDS,HAPPIEST MINDS TECHNO,12289,INE419U01012
HAPPYFORGE,HAPPY FORGINGS,5338625,INE330T01021
HARDWYN,HARDWYN INDIA,2294273,INE626Z01029
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,2295809,INE00EV01017
HARRMALAYA,HARRISON MALAYALAM,336129,INE544A01019
HARSHA,HARSHA ENGINEERS INT,2857473,INE0JUS01029
HATHWAY,HATHWAY CABLE & DATACOM,4647425,INE982F01036
HATSUN,HATSUN AGRO PRODUCT,996353,INE473B01035
HAVELLS,HAVELLS INDIA,2513665,INE176B01034
HAVISHA,SRI HAVISHA HOSP & INFR L,1908993,INE293B01029
HAWKINCOOK,HAWKINS COOKERS,1137665,INE979B01015
HBANKEINAV,HBANKETF INAV,2565633,
HBESD,H B ESTATE DEVELOPERS L,195254273,INE640B01021
HBLENGINE,HBL ENGINEERING,3575297,INE292B01021
HBS500INAV,HDFCAMC - HBS500INAV,3645185,
HCC,HINDUSTAN CONSTRUCTION CO,352001,INE549A01026
HCG,HEALTHCARE GLOB. ENT.,3982081,INE075I01017
HCL-INSYS,HCL INFOSYSTEMS,339713,INE236A01020
HCLTECH,HCL TECHNOLOGIES,1850625,INE860A01027
HDBFS,HDB FINANCIAL SERVICES L,193989633,INE756I01012
HDF100INAV,HDFCNIF100 INAV,2709249,
HDFC50INAV,HDFCNEXT50 INAV,2709505,
HDFCAMC,HDFC AMC,1086465,INE127D01025
HDFCBANK,HDFC BANK,341249,INE040A01034
HDFCBSE500,HDFC BSE 500 ETF,3642881,INF179KC1EZ4
HDFCGOLD,HDFC GOLD ETF,5003009,INF179KC1981
HDFCGRINAV,HDFCAMC - HDFCGRINAV,2884097,
HDFCGROWTH,HDFC NIFTY GROWTH SECTORS 15 ETF,2877697,INF179KC1DJ0
HDFCLIFE,HDFC LIFE INS CO,119553,INE795G01014
HDFCLIQUID,HDFC NIFTY 1D RATE LIQUID ETF - GROWTH,4679425,INF179KC1JG3
HDFCLOWVOL,HDFC NIFTY100 LOW VOLATILITY 30 ETF,2956033,INF179KC1HU8
HDFCLVINAV,HDFCAMC - HDFCLOWVOL,2957569,
HDFCMFINAV,HDFCMFGETF NAV,2109697,
HDFCMID150,HDFC NIFTY MIDCAP 150 ETF,3644417,INF179KC1HT0
HDFCMOINAV,HDFCAMC - HDFCMOMENT,2957057,
HDFCMOMENT,HDFC NIFTY200 MOMENTUM 30 ETF,2953729,INF179KC1HV6
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,2718465,INF179KC1HS2
HDFCNFINAV,HDFCNIFETF INAV,2565889,
HDFCNIF100,HDFC NIFTY 100 ETF,2722049,INF179KC1HR4
HDFCNIFBAN,HDFC NIFTY BANKING ETF,5742849,INF179KC1HY0
HDFCNIFIT,HDFC NIFTY IT ETF,3097857,INF179KC1IA8
HDFCNIFTY,HDFC NIFTY 50 ETF,2967297,INF179KC1965
HDFCNIINAV,HDFCAMC - HDFCNIINAV,4332033,
HDFCPBINAV,HDFCAMC - HDFCPBINAV,3102465,
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,5784321,INF179KC1HW4
HDFCPVTBAN,HDFC NIFTY PRIVATE BANK ETF,3099649,INF179KC1HZ7
HDFCQUAL,HDFC NIFTY100 QUALITY 30 ETF,2881281,INF179KC1DL6
HDFCQUINAV,HDFCAMC - HDFCQUINAV,2884353,
HDFCSEINAV,HDFCSENETF INAV,2566145,
HDFCSENSEX,HDFC BSE SENSEX ETF,2967809,INF179KC1HX2
HDFCSIINAV,HDFCAMC - HDFCSIINAV,2786049,
HDFCSILVER,HDFC SILVER ETF,2784257,INF179KC1DI2
HDFCSML250,HDFC NIFTY SMALLCAP 250 ETF,3643649,INF179KC1FB2
HDFCVALUE,HDFC NIFTY50 VALUE 20 ETF,2882561,INF179KC1DK8
HDFCVLINAV,HDFCAMC - HDFCVLINAV,2885633,
HDFLIQINAV,HDFCAMC - HDFLIQINAV,4680193,
HDFPBKINAV,HDFCAMC HDFPBKINAV,5785345,
HEADSUP,HEADS UP VENTURES,4916481,INE759V01019
HEALADINAV,DSPAMC - HEALADINAV,5785089,
HEALTHADD,DSP NIFTY HEALTHCARE ETF,5783553,INF740KA1UF4
HEALTHCARE,MIRAEAMC - HEALTHCARE,194812417,INF769K01QA6
HEALTHIETF,ICICI PRUDENTIAL NIFTY HEALTHCARE ETF,928257,INF109KC1Q72
HEALTHINAV,HEALTHY INAV,2550529,
HEALTHX,HEALTH X PLATFORM,5136129,INE019J01013
HEALTHY,ADITYA BIRLA SUN LIFE NIFTY HEALTHCARE ETF,1612033,INF209KB10C2
HECPROJECT,HEC INFRA PROJECTS,1900801,INE558R01013
HEG,HEG,342017,INE545A01024
HEIDELBERG,HEIDELBERGCEMENT (I),592897,INE578A01017
HEMIPROP,HEMISPHERE PROP IND,179457,INE0AJG01018
HERANBA,HERANBA INDUSTRIES,669185,INE694N01015
HERITGFOOD,HERITAGE FOODS,1177089,INE978A01027
HEROMOTOCO,HERO MOTOCORP,345089,INE158A01026
HESTERBIO,HESTER BIOSCIENCES,1804289,INE782E01017
HEXATRADEX,HEXA TRADEX,6914049,INE750M01017
HEXT,HEXAWARE TECHNOLOGIES,7594497,INE093A01041
HFCL,HFCL,5619457,INE548A01028
HGINFRA,H.G.INFRA ENGINEERING,428033,INE926X01010
HGM,HANDSON GBL MNGMNT,3479553,INE596H01014
HGS,HINDUJA GLOBAL SOLS.,3766273,INE170I01016
HIKAL,HIKAL,2475009,INE475B01022
HIMATSEIDE,HIMATSINGKA SEIDE,348161,INE049A01027
HINDALCO,HINDALCO  INDUSTRIES ,348929,INE038A01020
HINDCOMPOS,HINDUSTAN COMPOSITES,351233,INE310C01029
HINDCOPPER,HINDUSTAN COPPER,4592385,INE531E01026
HINDOILEXP,HINDUSTAN OIL EXPLORATION,359169,INE345A01011
HINDPETRO,HINDUSTAN PETROLEUM CORP,359937,INE094A01015
HINDUNILVR,HINDUSTAN UNILEVER,356865,INE030A01027
HINDWAREAP,HINDWARE HME INOVATON,4066049,INE05AN01011
HINDZINC,HINDUSTAN ZINC,364545,INE267A01025
HIRECT,HIND RECTIFIER,3555841,INE835D01023
HISARMETAL,HISAR METAL IND.,4946433,INE598C01011
HITECH,HI-TECH PIPES,734209,INE106T01025
HLEGLAS,HLE GLASCOAT,585985,INE461D01028
HLTCREINAV,MIRAEAMC - HLTCREINAV,7834113,
HLVLTD,HLV,370689,INE102A01024
HMAAGRO,HMA AGRO INDUSTRIES,4365569,INE0ECP01024
HMI150INAV,HDFCAMC - HMI150INAV,3645697,
HMVL,HINDUSTAN MEDIA VENT,4918017,INE871K01015
HNDFDS,HINDUSTAN FOODS,3116289,INE254N01026
HNGSNGBEES,NIPPON INDIA ETF HANG SENG BEES,4680705,INF204KB19I1
HOMEFIRST,HOME FIRST FIN CO IND,526337,INE481N01025
HONASA,HONASA CONSUMER - MAMAEARTH,5072129,INE0J5401028
HONAUT,HONEYWELL AUTOMATION IND,874753,INE671A01010
HONDAPOWER,HONDA I POWER PRODUCT,803329,INE634A01018
HPAL,HP ADHESIVES,1888257,INE0GSL01024
HPIL,HINDPRAKASH INDUSTRY,3019777,INE05X901010
HPL,HPL ELECTRIC & POWER,4781825,INE495S01016
HSBCGDINAV,HSBCAMC - HSBCGDINAV,7836417,
HSBCGOLD,HSBCAMC - HSBCGOLD,194945537,INF336L01RX2
HSCL,HIMADRI SPECIALITY CHEM L,3669505,INE019C01026
HSM250INAV,HDFCAMC - HSM250INAV,3646209,
HTMEDIA,HT MEDIA,3066625,INE501G01024
HUBTOWN,HUBTOWN,3635969,INE703H01016
HUDCO,HSG & URBAN DEV CORPN,5331201,INE031A01017
HUHTAMAKI,HUHTAMAKI INDIA,655873,INE275B01026
HYBRIDFIN,HYBRID FINANCIAL SERVICE,3279105,INE965B01022
HYUNDAI,HYUNDAI MOTOR INDIA,6616065,INE0V6F01027
IBMFNIINAV,IBMFNIFTY INAV,2576897,
IC10GSINAV,ICICIPRAMC - IC10GSINAV,3371265,
ICDSLTD,ICDS,1786113,INE613B01010
ICEMAKE,ICE MAKE REFRIGERAT,125185,INE520Y01019
ICICI1INAV,ICICINF100 INAV,2572801,
ICICI2INAV,ICICIB22 INAV,2567169,
ICICI5INAV,ICICI500 INAV,2572289,
ICICIAINAV,ICICIALPLV INAV,2572545,
ICICIAMC,ICICI PRUDENTIAL AMC,194664193,INE346A01027
ICICIB22,BHARAT 22 ETF,133633,INF109KB15Y7
ICICIBANK,ICICI BANK,1270529,INE090A01021
ICICIBINAV,ICICIBANKP INAV,2575105,
ICICICINAV,ICICICONSU INAV,2567937,
ICICIFINAV,ICICIFMCG INAV,2568449,
ICICIGI,ICICI LOMBARD GIC,5573121,INE765G01017
ICICIGINAV,ICICIGOLD NAV,2110721,
ICICIKINAV,ICICIBANKN INAV,2566401,
ICICILINAV,ICICILOVOL INAV,2574593,
ICICIMINAV,ICICIM150 INAV,2571521,
ICICININAV,ICICINV20 INAV,2574849,
ICICIOINAV,ICICIAUTO INAV,2567681,
ICICIPINAV,ICICIMCAP INAV,2566657,
ICICIPRULI,ICICI PRU LIFE INS CO,4774913,INE726G01019
ICICIQINAV,ICICILIQ INAV,2571265,
ICICIRINAV,ICICIPHARM INAV,2570753,
ICICISINAV,ICICISILVE NAV,2107649,
ICICITINAV,ICICITECH INAV,2571009,
ICICIXINAV,ICICINXT50 INAV,2572033,
ICICIYINAV,ICICINIFTY INAV,2573825,
ICICMOINAV,ICICIPRAMC - ICICMOINAV,2710785,
ICICOMINAV,ICICIPRAMC - ICICOMINAV,3382785,
ICIFININAV,ICICIPRAMC-ICIFININAV,3223809,
ICIL,INDO COUNT INDUSTRIES,3068673,INE483B01026
ICINFRINAV,ICICIPRAMC - ICINFRINAV,2753537,
ICIQ30INAV,ICICIPRAMC - ICIQ30INAV,4562433,
ICISECINAV,ICICI5GSEC INAV,2606849,
ICISENINAV,ICICISENSX INAV,2608385,
ICRA,ICRA,3717889,INE725G01011
IDBI,IDBI BANK,377857,INE008A01015
IDBIGOINAV,IDBIGOLD NAV,2108161,
IDEA,VODAFONE IDEA,3677697,INE669E01016
IDFCFIRSTB,IDFC FIRST BANK,2863105,INE092T01019
IDFNIFINAV,IDFNIFTYET INAV,2575873,
IDFNIFTYET,BANDHAN NIFTY 50 ETF,4808449,INF194KA1U07
IEX,INDIAN ENERGY EXC,56321,INE022Q01020
IFBIND,IFB INDUSTRIES,380161,INE559A01017
IFCI,IFCI,381697,INE039A01010
IFGLEXPOR,IFGL REFRACTORIES,111617,INE133Y01011
IGARASHI,IGARASHI MOTORS INDIA,162305,INE188B01013
IGCL,INDOGULF CROPSCIENCES,193997057,INE05J901018
IGIL,INTL GEMOLOGICAL INST,7264769,INE0Q9301021
IGL,INDRAPRASTHA GAS,2883073,INE203G01027
IGPL,I G PETROCHEMICALS,3606017,INE204A01010
IIFL,IIFL FINANCE,3023105,INE530B01024
IIFLCAPS,IIFL CAPITAL SERVICES,3346433,INE489L01022
IITL,INDUSTRIAL INV TRUST,4998401,INE886A01014
IKIO,IKIO TECHNOLOGIES,4306433,INE0LOJ01019
IKS,INVENTURUS KNOWLEDGE SO L,7200001,INE115Q01022
IMAGICAA,IMAGICAAWORLD ENT,1964033,INE172N01012
IMFA,INDIAN METALS & FERRO,4924161,INE919H01018
IMPAL,IND MOTOR PART & ACC,3074305,INE547E01014
INA,INSOLATION ENERGY,194841345,INE0LGX01024
INCREDIBLE,INCREDIBLE INDUSTRIES,4481793,INE452L01012
INDBANK,INDBANK MERCH BANK,4334849,INE841B01017
INDGN,INDEGENE,6065409,INE065X01017
INDHOTEL,THE INDIAN HOTELS CO.,387073,INE053A01029
INDIACEM,THE INDIA CEMENTS,387841,INE383A01012
INDIAGLYCO,INDIA GLYCOLS,389377,INE560A01023
INDIAMART,INDIAMART INTERMESH,2745857,INE933S01016
INDIANB,INDIAN BANK,3663105,INE562A01011
INDIANCARD,INDIAN CARD CLOTHING CO.,1132033,INE061A01014
INDIANHUME,INDIAN HUME PIPE CO.,391681,INE323C01030
INDIASHLTR,INDIA SHELTER FIN CORP L,5262337,INE922K01024
INDIGO,INTERGLOBE AVIATION,2865921,INE646L01027
INDIGOPNTS,INDIGO PAINTS,524289,INE09VQ01012
INDIQUBE,INDIQUBE SPACES,194008321,INE06ST01018
INDNIPPON,INDIA NIPPON ELECT ,1215233,INE092B01025
INDOAMIN,INDO AMINES,2333697,INE760F01028
INDOBORAX,INDO BORAX & CHEMICAL,2205185,INE803D01021
INDOCO,INDOCO REMEDIES,2989313,INE873D01024
INDOFARM,INDO FARM EQUIPMENT,7430401,INE622H01018
INDORAMA,INDO RAMA SYNTHETICS,2814209,INE156A01020
INDOSTAR,INDOSTAR CAPITAL FIN,790529,INE896L01010
INDOTHAI,INDO THAI SEC,6555649,INE337M01021
INDOUS,INDO US BIOTECH,6528769,INE250Z01010
INDPRUD,INDUSTRIAL & PRU INV CO L,195255553,INE620D01011
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP,1216257,INE681B01017
INDSWFTLAB,IND SWIFT LABORATORIES LT,1246721,INE915B01019
INDTERRAIN,IND TERRAIN FASHIONS,5620993,INE611L01021
INDUSINDBK,INDUSIND BANK,1346049,INE095A01012
INDUSTOWER,INDUS TOWERS,7458561,INE121J01017
INFOBEAN,INFOBEANS TECHNO.,2822913,INE344S01016
INFOMEDIA,INFOMEDIA PRESS,3505409,INE669A01022
INFRA,MIRAEAMC - INFRA,194823681,INF769K01QB4
INFRABEES,NIPPON INDIA ETF INFRA BEES,5138433,INF732E01268
INFRAIETF,ICICI PRUDENTIAL NIFTY INFRASTRUCTURE ETF,2745089,INF109KC16E5
INFRAINAV,MIRAEAMC - INFRAINAV,7834369,
INFY,INFOSYS,408065,INE009A01021
INGERRAND,INGERSOLL-RAND INDIA,408833,INE177A01018
INNOVACAP,INNOVA CAPTAB,5391873,INE0DUT01020
INNOVANA,INNOVANA THINKLABS,7105025,INE403Y01018
INNOVISION,INNOVISION,194951169,INE0ADB01012
INOXGREEN,INOX GREEN ENERGY SER,3120129,INE510W01014
INOXINDIA,INOX INDIA,5275393,INE616N01034
INOXWIND,INOX WIND,2010113,INE066P01011
INSECTICID,INSECTICIDES (I),3752193,INE070I01018
INTELLECT,INTELLECT DESIGN ARENA,1517057,INE306R01017
INTENTECH,INTENSE TECHNOLOGIES,5138177,INE781A01025
INTERARCH,INTERARCH BLDNG SOLTN,6376705,INE00M901018
INTERNET,MIRAE ASSET NIFTY INDIA INTERNET ETF,194200321,INF769K01PB6
INTERNINAV,MIRAEAMC - INTERNINAV,7815169,
INTLCONV,INTL CONVEYORS,1435137,INE575C01027
INVENTURE,INVENTURE GRO & SEC,6366721,INE878H01024
INVPRECQ,INVESTMENT & PREC CAST L,195256833,INE155E01016
IOB,INDIAN OVERSEAS BANK,2393089,INE565A01014
IOC,INDIAN OIL CORP,415745,INE242A01010
IOLCP,IOL CHEM AND PHARMA,5225729,INE485C01029
IONEXCHANG,ION EXCHANGE (INDIA),417281,INE570A01022
IPCALAB,IPCA LABORATORIES,418049,INE571A01038
IPL,INDIA PESTICIDES,1263105,INE0D6701023
IRB,IRB INFRA DEV,3920129,INE821I01022
IRCON,IRCON INTERNATIONAL,1276417,INE962Y01021
IRCTC,INDIAN RAIL TOUR CORP,3484417,INE335Y01020
IREDA,INDIAN RENEWABLE ENERGY,5186817,INE202E01016
IRFC,INDIAN RAILWAY FIN CORP L,519425,INE053F01010
IRIS,IRIS REGTECH SOLUTION,1661185,INE864K01010
IRISDOREME,IRIS CLOTHINGS,582401,INE01GN01025
IRMENERGY,IRM ENERGY,5016833,INE07U701015
ISFT,INTRASOFT TECH.,4730625,INE566K01011
ISGEC,ISGEC HEAVY ENG,852225,INE858B01029
ISHANCH,ISHAN DYES N CHEMICALS L,7743745,INE561M01018
IT,KOTAK NIFTY IT ETF,672513,INF174KA1GC5
ITADD,DSP NIFTY IT ETF,4404993,INF740KA1SX1
ITBEES,NIPPON INDIA ETF NIFTY IT,4885505,INF204KB15V2
ITBEESINAV,ITBEES INAV,2596097,
ITBETA,UTI NIFTY IT ETF,5756929,INF789F1AZD8
ITC,ITC,424961,INE154A01025
ITCHOTELS,ITC HOTELS,7488257,INE379A01028
ITDC,INDIA TOUR. DEV. CO.,4940545,INE353K01014
ITETF,MIRAE ASSET NIFTY IT ETF,5026049,INF769K01KV5
ITETFINAV,MIRAEAMC - ITETFINAV,5028865,
ITI,ITI,428801,INE248A01017
ITIETF,ICICI PRUDENTIAL NIFTY IT ETF,5725441,INF109KC16I6
IVALUE,IVALUE INFOSOLUTIONS,194314497,INE056801025
IVC,IL&FS INVESTMENT MANAGERS,1718017,INE050B01023
IVP,IVP,430337,INE043C01018
IVZINGINAV,IVZINGOLD NAV,2108417,
IVZINGOLD,INVESCO INDIA GOLD EXCHANGE TRADED FUND,4682753,INF205KA1BP1
IVZINNIFTY,INVESCO INDIA NIFTY 50 EXCHANGE TRADED FUND,6199553,INF205K01DA9
IVZINNINAV,IVZINNIFTY INAV,2578177,
IWP,INDIAN WOOD PRODUCTS CO L,195258113,INE586E01020
IXIGO,LE TRAVENUES TECHNOLOGY L,6161153,INE0HV901016
IZMO,IZMO,3628545,INE848A01014
J&KBANK,J & K BANK,1442049,INE168A01041
JAGRAN,JAGRAN PRAKASHAN,3382017,INE199G01027
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS,1128961,INE048B01035
JAICORPLTD,JAI CORP,1316609,INE070D01027
JAINREC,JAIN RESOURCE RECYCLING L,194366465,INE0YD401026
JAIPURKURT,NANDANI CREATION,1412097,INE696V01013
JAMNAAUTO,JAMNA AUTO IND,5319169,INE039C01032
JARO,JARO INS OF TEC MG N RE L,194547457,INE00YJ01010
JASH,JASH ENGINEERING,3579393,INE039O01029
JAYAGROGN,JAYANT AGRO ORGANICS,1034497,INE785A01026
JAYBARMARU,JAY BHARAT MARUTI,437249,INE571B01036
JAYKAY,JAYKAY ENTERPRISES,194578689,INE903A01025
JAYNECOIND,JAYASWAL NECO INDUSTR,596737,INE854B01010
JAYSREETEA,JAYSHREE TEA & INDUSTRIES,440321,INE364A01020
JBCHEPHARM,J B CHEMICALS AND PHARMA,441857,INE572A01036
JBMA,JBM AUTO,2983681,INE927D01051
JETFREIGHT,JET FREIGHT LOGISTICS,1846017,INE982V01025
JGCHEM,J.G.CHEMICALS,5902337,INE0MB501011
JHS,JHS SVEND. LAB.,3512321,INE544H01014
JINDALPHOT,JINDAL PHOTO,3006209,INE796G01012
JINDALPOLY,JINDAL POLY FILMS,449537,INE197D01010
JINDALSAW,JINDAL SAW,774145,INE324A01032
JINDALSTEL,JINDAL STEEL,1723649,INE749A01030
JINDRILL,JINDAL DRILLING IND.,3552001,INE742C01031
JINDWORLD,JINDAL WORLDWIDE,5284353,INE247D01039
JIOFIN,JIO FIN SERVICES,4644609,INE758E01017
JISLDVREQS,JAIN DVR EQUITY SHARES,6575105,IN9175A01010
JISLJALEQS,JAIN IRRIGATION SYSTEMS,2661633,INE175A01038
JITFINFRA,JITF INFRALOGISTICS,5040897,INE863T01013
JKCEMENT,JK CEMENT,3397121,INE823G01014
JKIL,JKUMAR INFR.LTD.,3908097,INE576I01022
JKLAKSHMI,JK LAKSHMI CEMENT,3453697,INE786A01032
JKPAPER,JK PAPER,3036161,INE789E01012
JKTYRE,JK TYRE & INDUSTRIES,3695361,INE573A01042
JLHL,JUPITER LIFE LINE HOSP L,4749569,INE682M01012
JMA,JULLUNDUR MOT AGENCY,1819905,INE412C01023
JMFINANCIL,JM FINANCIAL,3491073,INE780C01023
JNKINDIA,JNK INDIA,6046977,INE0OAF01028
JPOLYINVST,JIND POL INV & FIN CO,8065793,INE147P01019
JPPOWER,JAIPRAKASH POWER VEN.,3011329,INE351F01018
JSFB,JANA SMALL FIN BANK,5801729,INE953L01027
JSL,JINDAL STAINLESS,2876417,INE220G01021
JSLL,JEENA SIKHO LIFECARE,194077441,INE0J5801029
JSWCEMENT,JSW CEMENT,194165761,INE718I01012
